_title_norm,title,num_editions,edition_list
electromagnetic fields & waves,Electromagnetic fields & Waves,2,['1st ed.' '3rd']
electromagnetic fields and waves,Electromagnetic Fields and Waves,2,['1st rep' '1st rep.']
electromagnetic waves,Electromagnetic Waves,3,['1st' '1st ed.' '']
electromagnetic waves and radiating systems,Electromagnetic Waves and Radiating Systems,2,['34' '2nd']
electromagnetics,Electromagnetics,2,['2nd' '2nd ed']
electronic circuit analysis design,Electronic Circuit Analysis Design,3,['2nd ed.' '2nd' '3rd']
electronic circuits,Electronic circuits,2,['3rd ed.' '3rd ed']
electronic communication system,Electronic Communication System,2,['4th' '']
electronic communication systems,Electronic Communication Systems,3,['4th' '5th' '5 ed.']
electronic communications,Electronic communications,4,['1st ed.' '' '4th ed.' '4th']
electronic device and circuits,Electronic Device and Circuits,2,['2nd' '']
electronic devices & circuits,Electronic Devices & Circuits,3,['2nd' '1st ed.' '2nd ed.']
electronic devices and circuit theory,Electronic Devices and Circuit Theory,3,['6th ed.' '8th' '9th']
electronic devices and circuits,Electronic Devices and Circuits,10,"['1st ed.' '1st rep.' '3rd' '25th rep.' '23rd' '1st' '6th' '32th'
 '3rd ed.' '5th']"
electronic devices and circuits:: an introduction,Electronic devices and circuits:: an introduction,2,['1st ed.' '']
electronic devices and integrated circuits,Electronic Devices and Integrated Circuits,2,['1st ed.' '']
electronic instrumentation,Electronic Instrumentation,2,['1st' '1st ed.']
electronic measurements & instrumentation,Electronic Measurements & Instrumentation,2,['1st ed.' '']
electronic principles,Electronic Principles,3,['1st ed.' '6th' '7th']
electronics : analog and digital,Electronics : Analog and Digital,2,['1st' '5th pri.']
electronics circuits & analysis,Electronics Circuits & Analysis,2,['1st' '1st ed.']
electronics instruments and instrumentation technology,Electronics Instruments and Instrumentation Technology,2,['1st' '1st ed.']
elementary linear algebra,Elementary Linear Algebra,2,['9th ed' '9 ed.']
elementary organic spectroscopy,Elementary Organic Spectroscopy,2,['1st rep.' '1st ed.']
elements of discrete mathematics,Elements of Discrete Mathematics,2,['2nd ed.' '']
elements of engineering electromagnetic,Elements of Engineering Electromagnetic,2,['4th' '5th']
elements of information theory,Elements of Information Theory,2,['1st ed.' '']
elements of materials science and engineering,Elements of Materials Science and Engineering,2,['1st' '6th']
