book_id,_unique_key,title,author,editionstatement,publishercode,copyrightdate,itemcallnumber,quantity
111,"a text book of welding technology||khanna, o.p||rep.||dhanpat rai & sons||2001",A Text Book of Welding Technology,"Khanna, O.P",Rep.,DHANPAT RAI & SONS,2001,671.52 KHA,5
112,a text book on automatic control system engineering||jain||1st||dhanpat rai||2004,A text Book on Automatic Control System Engineering,JAIN,1st,Dhanpat rai,2004,621.317 JAI,9
113,a text book on automatic control systems engineeri||jain||1st||dhanpat rai & sons||2004,A Text book on Automatic Control Systems Engineeri,JAIN,1st,Dhanpat Rai & Sons,2004,621.317 JAI,1
114,"a text book on optical fiber communication and its applications||gupta,s.c.||1st||prentice hall||2004",A Text book on optical fiber communication and its applications,"Gupta,S.C.",1st,Prentice Hall,2004,621.3892 GUP,2
115,a text-book of organic chemistry||bahl and bahl||1st ed.||s.chand and co. ltd.||2000,A Text-Book of Organic Chemistry,BAHL AND BAHL,1st ed.,S.CHAND AND CO. LTD.,2000,547 BAH;20,2
116,a text-book of organic chemistry||bahl and bahl||||s.chand and co. ltd.||2000,A Text-Book of Organic Chemistry,BAHL AND BAHL,,S.CHAND AND CO. LTD.,2000,547 BAH;21,3
117,a textbook of applied electronics||sedha (r.s)||1st||s.chand and co. ltd.||2003,A Textbook of Applied Electronics,SEDHA (R.S),1st,S.CHAND AND CO. LTD.,2003,621.382 SED R,5
118,"a textbook of automobile engineering||rajput, r. k.||1st ed.||laxmi publication||2012",A textbook of automobile engineering,"Rajput, R. K.",1st ed.,Laxmi Publication,2012,629.2 RAJ,1
119,a textbook of engineering mathematics||bali (n.p)||7th ed.||laxmi pub.||2007,A textbook of engineering mathematics,BALI (N.P),7th ed.,LAXMI PUB.,2007,519 BALI; 113,1
120,a textbook of engineering mathematics||bali n.p.||7th||laxmi pub.||2007,A Textbook of Engineering Mathematics,BALI N.P.,7th,LAXMI PUB.,2007,519 BALI 126,1
121,"a textbook of engineering mathematics||bali, n.p.||7th||laxmi pub||2007",A Textbook of Engineering Mathematics,"Bali, N.P.",7th,Laxmi Pub,2007,519 BALI,37
122,"a textbook of engineering mathematics||bali,n.p.||7th||laxmi pub.||2007",A Textbook of Engineering Mathematics,"Bali,N.P.",7th,Laxmi Pub.,2007,519 BAL,1
123,"a textbook of engineering mathmatics||bali, np||1st ed.||laxmi pub||2007",A Textbook of Engineering Mathmatics,"Bali, NP",1st ed.,Laxmi Pub,2007,519 BAL,4
124,a textbook of english phonetics for indian student||balasubramaniam(t)||1st||macmillan press ltd.||2002,A Textbook of English Phonetics for Indian Student,BALASUBRAMANIAM(T),1st,MACMILLAN PRESS LTD.,2002,421.502 BAL 14,5
125,"a textbook of machine design||khurmi,r.s.||1st||s.chand||2005",A Textbook of Machine Design,"Khurmi,R.S.",1st,S.Chand,2005,621.815 KHU,14
126,a textbook of pant ecology||ambasht (r s)||4th||cbs||2006,A Textbook of Pant Ecology,Ambasht (R S),4th,CBS,2006,581.7 AMB; 49,1
127,"a textbook of physical chemistry||kapoor,k.l.||3rd||macmillian||2005",A textbook of Physical Chemistry,"Kapoor,K.L.",3rd,Macmillian,2005,541.3 KAP,4
128,"a textbook of plant ecology||ambasht, (r.s.)||4th ed||cbs||2006",A Textbook of Plant Ecology,"Ambasht, (R.S.)",4th ed,CBS,2006,581.7 AMB; 16,3
129,"a textbook of plant ecology||ambashta, r.s.||4th||cbs||2006",A textbook of plant ecology,"Ambashta, R.S.",4th,CBS,2006,581.7 AMB,46
130,"a textbook of power systems engineering||chakrabar,a.||1st||dhanpat rai||2005",A Textbook of power systems engineering,"Chakrabar,A.",1st,Dhanpat Rai,2005,621.317 CHA,1
131,"a textbook of production engineering||sharma, p.c.||1st ed.||s chand||2006",A Textbook of Production Engineering,"Sharma, P.C.",1st ed.,S Chand,2006,670.42 SHA,10
132,"a textbook of production engineering||sharma, p.c.||1st ed.||s. chand||2010",A Textbook of Production Engineering,"Sharma, P.C.",1st ed.,S. Chand,2010,670.42 SHA,47
133,"a textbook of railway engineering||saxena, s. c.||7th ed.||dhantpat rai & pub.||2011",A Textbook of Railway Engineering,"Saxena, S. C.",7th ed.,Dhantpat Rai & Pub.,2011,625 SAX,9
134,a textbook of refrigeration and air conditioning||khurmi & gupta||1st rep.||eurasia pub||2003,A Textbook of Refrigeration and Air Conditioning,KHURMI & GUPTA,1st Rep.,EURASIA PUB,2003,621.56 KHU,10
135,a textbook of signals and systems||husain (farooq)||1st||umesh publication||2004,A Textbook of Signals and Systems,HUSAIN (FAROOQ),1st,UMESH PUBLICATION,2004,621.3822 HUS R,4
136,a textbook of theory of machines||bansal (r.k)||3rd||laxmipub.||2004,A Textbook of Theory of Machines,BANSAL (R.K),3rd,LAXMIPUB.,2004,621.8 BAN R,10
137,a textbook on experiment ... in engg. chemistry||dara (s.s)||9th rev.||s.chand and co. ltd.||2003,A Textbook on Experiment ... in Engg. Chemistry,DARA (S.S),9th Rev.,S.CHAND AND CO. LTD.,2003,660 DAR 9,20
138,"a textbook on heat transfer||sukhatme, s.p.||1st ed.||universal press||2015",A textbook on Heat Transfer,"Sukhatme, S.P.",1st ed.,Universal Press,2015,621.4022 SUK,22
139,"a txtbook of engineering mathematics||bali, n. p.||7th ed.||laxmi pub.||2007",A Txtbook of engineering mathematics,"Bali, N. P.",7th ed.,LAXMI PUB.,2007,519 BALI,1
